Symbol,Name
AAPL,Apple
ABBV,AbbVie
ABT,Abbot Laboratories
ACN,Accenture
AGN,Allergan
AIG,American International Group
AIG,AIG
ALL,Allstate
AMGN,Amgen
AMZN,Amazon
AXP,American Express
BA,Boeing
BAC,Bank of America
BIIB,Biogen
BK,BNY Mellon
BK,The Bank of New York Mellon
BKNG,Booking Holdings
BLK,Blackrock
BMY,Bristol-Myers Squibb
BRK.B,Berkshire Hathaway
C,Citigroup
CAT,Caterpillar
CELG,Celgene
CHTR,Charter Communications
CL,Colgate-Palmolive
CMCSA,Comcast
COF,Capital One Financial
COF,Capital One
COP,ConocoPhillips
COST,Costco
CSCO,Cisco
CVS,CVS Health
CVS,CVS
CVX,Chevron
DHR,Danaher
DIS,Disney
DIS,The Walt Disney Company
DUK,Duke Energy
DWDP,DowDuPont
EMR,Emerson Electric
EXC,Exelon
F,Ford
FB,Facebook
FDX,FedEx
FOX,Fox
GD,General Dynamics
GE,General Electric
GILD,Gilead Sciences
GM,GM
GM,General Motors
GOOG,Alphabet Inc
GOOGL,Google
GS,Goldman Sachs
HAL,Halliburton
HD, Home Depot
HON,Honeywell
IBM,IBM
IBM,International Business Machines
INTC,Intel
JNJ,Johnson & Johnson
JPM,JPMorgan Chase
KHC,Kraft Heinz
KMI,Kinder Morgan
KO,Coca-Cola
LLY,Eli Lilly
LMT,Lockheed Martin
LOW,Lowe's
MA,MasterCard
MCD,McDonald's
MDLZ,Mondelez
MDT,Medtronic
MET,MetLife
MMM,3M
MO,Altria Group
MRK,Merck
MS,Morgan Stanley
MSFT,Microsoft
NEE,NextEra Energy
NFLX,Netflix
NKE,Nike
NVDA,NVIDIA
ORCL,Oracle
OXY,Occidental Petroleum
PEP,PepsiCo
PFE,Pfizer
PG,Procter & Gamble 
PM,Philip Morris 
PYPL,PayPal
QCOM,Qualcomm
RTN,Raytheon
SBUX,Starbucks 
SLB,Schlumberger
SO,Southern Company
SPG,Simon Property Group
T,AT&T
TGT,Target
TSLA,Tesla
TXN,Texas Instruments
UNH,UnitedHealth 
UNP,Union Pacific
UPS,UPS
UPS,United Parcel Service
USB,US Bank
USB,U.S. Bancorp
UTX,United Technologies
V,Visa
VZ,Verizon
VZ,Verizon Communications
WBA,Walgreens
WFC,Wells Fargo
WMT,Walmart
XOM,Exxon Mobil
